Type,Date,Case,Latitude,Longtitude
피습 사건,1967-06-03,무장간첩 침투 사건,37.7936792652911,126.685999276181
피습 사건,1967-06-29,무장간첩단 출몰 사건,37.1836862393249,128.483006712595
피습 사건,1967-06-29,무장간첩단 출몰 사건,37.4304059167061,129.177410455788
피습 사건,1967-06-29,무장간첩단 출몰 사건,37.7532226734235,128.875443586651
피습 사건,1967-07-05,북괴군 기습 사건,38.4518638093902,128.297646756537
피습 사건,1967-07-08,동백림 적화공작단 사건,,
피습 사건,1967-07-16,북괴군 기습 사건,37.7936792652911,126.685999276181
피습 사건,1967-07-19,무장간첩단 사건,35.5693302922261,126.856294984676
피습 사건,1967-08-10,미군트럭 기습공격 사건,37.9556099992588,126.676601006326
피습 사건,1967-08-28,미 공병대 피습 사건,37.9691945981238,126.779573951463
피습 사건,1967-11-03,어선납북 사건,37.5261722483585,129.122350295165
피습 사건,1967-11-10,북괴군 2개 분대 남침 사건,,
피습 사건,1967-11-11,어선납북 사건,37.5261722483585,129.122350295165
피습 사건,1968-01-21,청와대 기습 미수 사건,37.566370776634,126.977918351844
피습 사건,1968-01-23,미 정찰수집함 푸에블로호 납사 사건,,
피습 사건,1968-01-25,북괴군 남침 사건,37.9691945981238,126.779573951463
피습 사건,1968-02-04,북괴군 남침 사건,,
피습 사건,1968-04-04,무장공비 침투 사건,37.6698705314752,125.692128088145
피습 사건,1968-04-14,북괴군 기습총격 사건,37.9556099992588,126.676601006326
피습 사건,1968-04-17,북괴군 매복 기습 사건,,
피습 사건,1968-06-17,어선납북 사건,37.66519155,125.7020477
피습 사건,1968-07-20,지하간첩단 사건,35.0841790513102,126.111187461859
피습 사건,1968-07-29,무장간첩 사건,34.7718846174709,126.312902273487
피습 사건,1968-08-04,무장공비 침투 사건,37.9691945981238,126.779573951463
피습 사건,1968-08-05,미군순찰대 피습 사건,37.9556099992588,126.676601006326
피습 사건,1968-08-08,무장공비 침투 사건,37.9691945981238,126.779573951463
피습 사건,1968-08-20,무장간첩 침투 사건,35.8154621949065,126.473435206492
피습 사건,1968-08-24,통일혁명당 간첩 사건,35.17992599,129.07509523457
피습 사건,1968-08-24,통일혁명당 간첩 사건,37.566370776634,126.977918351844
피습 사건,1968-10-17,무장공비 침투 사건,,
피습 사건,1968-11-03,울진·삼척지구 무장공비 사건,36.9930706136202,129.400679433761
피습 사건,1968-11-07,어선납북 사건,37.5261722483585,129.122350295165
피습 사건,1968-12-09,양민 일가족참살 사건,36.9930706136202,129.400679433761
피습 사건,1969-01-28,위장귀순 간첩 이수근 사건,37.4476109663729,126.452346738588
피습 사건,1969-03-16,무장공비 침투 사건,37.8976586491148,128.816839111313
피습 사건,1969-04-15,EC-121기 격추 사건,37.5261722483585,129.122350295165
피습 사건,1969-06-13,무장간첩선 나포 사건,34.6830172147542,125.427369709808
피습 사건,1969-06-17,무장공비 침투 사건,34.6830172147542,125.427369709808
피습 사건,1969-09-20,무장간첩선 사건,35.9676029784227,126.736867639844
피습 사건,1969-09-24,무장간첩선 사건,34.6830172147542,125.427369709808
피습 사건,1969-10-14,무장간첩선 침투 사건,,
피습 사건,1969-10-18,미군병사 피살 사건,37.9556099992588,126.676601006326
피습 사건,1969-12-11,KAL기 납북 사건,37.7645195812136,128.899617238918
피습 사건,1970-03-13,무장공비 침투 사건,38.0965132153527,127.075258645133
피습 사건,1970-04-03,무장간첩선 침투 사건,36.677317629205,126.075562194791
피습 사건,1970-04-08,무장공비 침투 사건,37.7600286711113,126.779919878758
